timestamp,symbol,signal,action,signal_strength,confidence,price,position_size,trade_value,commission,margin_used,leverage,capital_after,available_margin,profit_loss,trade_return_pct,capital_before,mfe,mae,exit_reason
05:00 2024/02/03,ETHUSDT,WEAK_BUY,BUY,0.3,0.25,2295.01,2.83223166783587,6500.325000000002,0.6500325000000002,1300.0,5.0,9999.3499675,8700.0,,,,,,
06:00 2024/02/03,ETHUSDT,TREND_REVERSAL,SELL,,,2307.504619,-2.83223166783587,6535.387655609343,0.6535387655609343,1300.0,,10033.759084343781,,34.40911684378023,2.6468551418292487,9999.3499675,0.006019389358678557,0.00021120878065346814,TREND_REVERSAL
07:00 2024/02/03,ETHUSDT,WEAK_BUY,BUY,0.3,0.25,2307.85,2.8259823666284456,6522.2695019937,0.65222695019937,1304.3886809646915,5.0,10033.10685739358,8695.611319035308,,,,,,
09:00 2024/02/03,ETHUSDT,TREND_REVERSAL,SELL,,,2324.6537615,-2.8259823666284456,6569.4305385154885,0.6569430538515488,1304.3886809646915,,10079.610950861517,,46.5040934679369,3.5652021630196677,10033.10685739358,0.009113918071888837,0.0009685554676271932,TREND_REVERSAL
16:00 2024/02/03,ETHUSDT,WEAK_BUY,BUY,0.3,0.25,2307.23,2.8396592962383402,6552.074705415889,0.6552074705415889,1310.3494236119973,5.0,10078.955743390976,8689.650576388003,,,,,,
17:00 2024/02/03,ETHUSDT,TREND_REVERSAL,SELL,,,2313.7143085,-2.8396592962383402,6570.160344971688,0.6570160344971688,1310.3494236119973,,10096.384366912278,,17.42862352130131,1.3300744982402524,10078.955743390976,0.003274168932859071,0.00013667719850793918,TREND_REVERSAL
02:00 2024/02/04,ETHUSDT,BUY,BUY,0.7,0.55,2297.22,2.8567789930842418,6562.977970984906,0.6562977970984907,1312.5299676985962,5.0,10095.72806911518,8687.470032301404,,,,,,
03:00 2024/02/04,ETHUSDT,TREND_REVERSAL,SELL,,,2302.424873,-2.8567789930842418,6577.519010341053,0.6577519010341053,1312.5299676985962,,10109.611356570293,,13.883287455112834,1.057750131180314,10095.72806911518,0.0022657293407084833,0.0009249243704397793,TREND_REVERSAL
08:00 2024/02/04,ETHUSDT,BUY,BUY,0.5,0.4,2298.18,2.8593266766618326,6571.5759441397795,0.657157594413978,1314.249476354138,5.0,10108.954198975878,8685.750523645862,,,,,,
09:00 2024/02/04,ETHUSDT,TREND_REVERSAL,SELL,,,2304.0347925,-2.8593266766618326,6587.98814615226,0.658798814615226,1314.249476354138,,10124.707602173743,,15.753403197865294,1.1986615540884094,10108.954198975878,0.003178482870667891,0.0014336319447506502,TREND_REVERSAL
16:00 2024/02/04,ETHUSDT,BUY,BUY,0.5,0.4,2288.92,2.8751812826192844,6581.388994410004,0.6581388994410005,1316.2119882825866,5.0,10124.049463274301,8683.788011717414,,,,,,
17:00 2024/02/04,ETHUSDT,TREND_REVERSAL,SELL,,,2302.1048889999997,-2.8751812826192844,6618.9688874791445,0.6618968887479145,1316.2119882825866,,10160.967459454694,,36.91799618039287,2.8048670357853247,10124.049463274301,0.006800052322148319,0.0017406666845763729,TREND_REVERSAL
18:00 2024/02/04,ETHUSDT,BUY,BUY,0.5,0.4,2299.22,2.8725519300656535,6604.959080087984,0.6604959080087984,1320.9257697291102,5.0,10160.306963546685,8679.07423027089,,,,,,
19:00 2024/02/04,ETHUSDT,TREND_REVERSAL,SELL,,,2303.9747955000003,-2.8725519300656535,6618.287245636145,0.6618287245636145,1320.9257697291102,,10172.973300370282,,12.666336823596927,0.9588984569658661,10160.306963546685,0.004103377350421612,0.0005327457811832462,TREND_REVERSAL
10:00 2024/02/05,ETHUSDT,WEAK_BUY,BUY,0.3,0.25,2280.21,2.8999226585449076,6612.7632668729475,0.6612763266872947,1322.4865290481368,5.0,10172.312024043595,8677.513470951862,,,,,,
11:00 2024/02/05,ETHUSDT,TREND_REVERSAL,SELL,,,2295.0552415,-2.8999226585449076,6655.482697438106,0.6655482697438106,1322.4865290481368,,10214.36590633901,,42.05388229541448,3.1799100687764947,10172.312024043595,0.007562955711814937,0.0002604939022986366,TREND_REVERSAL
13:00 2024/02/05,ETHUSDT,WEAK_BUY,BUY,0.3,0.25,2294.73,2.8932980521108616,6639.6698060123135,0.6639669806012314,1327.8675678240713,5.0,10213.701939358409,8672.13243217593,,,,,,
16:00 2024/02/05,ETHUSDT,TREND_REVERSAL,SELL,,,2321.5339175,-2.8932980521108616,6716.889561412047,0.6716889561412048,1327.8675678240713,,10290.250005802001,,76.5480664435927,5.764736506745869,10213.701939358409,0.0130881462359011,0.0008692250365672056,TREND_REVERSAL
18:00 2024/02/05,ETHUSDT,BUY,BUY,0.6,0.5,2321.72,2.8809083368241226,6688.996936896491,0.6688996936896492,1337.7325007542602,5.0,10289.581106108311,8662.26749924574,,,,,,
19:00 2024/02/05,ETHUSDT,TREND_REVERSAL,SELL,,,2328.4135735000004,-2.8809083368241226,6707.946075470598,0.6707946075470598,1337.7325007542602,,10307.859450074871,,18.278343966559596,1.366367637495062,10289.581106108311,0.0032749572830955663,0.0002911859299960918,TREND_REVERSAL
20:00 2024/02/05,ETHUSDT,WEAK_BUY,BUY,0.2,0.2,2324.26,2.8826846577184417,6700.443647980795,0.6700443647980795,1340.0217285097333,5.0,10307.189405710073,8659.978271490267,,,,,,
